"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20202","11215730","군자동","2604535","06","4232060000","1189733000","37987000","253210000","487907000","144860000","79120000","155348000","193302000","264633000","1425960000"
"20202","11230650","장안1동","2863708","06","9697847000","2664167000","247902000","200676000","1745960000","1058892000","163662000","316600000","432970000","356969000","2510049000"
"20202","11230740","이문1동","3000929","07","2490712000","540851000","27690000","54488000","361795000","185706000","32732000","107366000","244187000","50381000","885516000"
"20202","11260565","면목본동","2336892","05","3647301000","963626000","107192000","123082000","512631000","55092000","76802000","208235000","167540000","154355000","1278746000"
"20202","11260590","상봉2동","2575432","06","10412167000","3986748000","207830000","96107000","1002562000","415599000","441884000","575999000","1112635000","455927000","2116876000"
"20202","11260680","신내1동","2780491","06","4797136000","1451041000","72206000","52874000","668850000","269197000","355598000","188569000","318080000","180203000","1240518000"
"20202","11290660","길음1동","4462339","08","4349372000","2224679000","74612000","11508000","584903000","3442000","400504000","48060000","156025000","179531000","666108000"
"20202","11305545","송중동","2555447","06","8756504000","1538674000","457040000","772448000","1675537000","237401000","137810000","582179000","483134000","224538000","2647743000"
"20202","11305555","송천동","2444557","06","4391441000","1203157000","98564000","86911000","827197000","182247000","143389000","133199000","273684000","301566000","1141527000"
"20202","11305635","수유3동","2205999","05","9325071000","1152590000","437883000","158255000","1121934000","714751000","58652000","1428936000","550455000","385082000","3316533000"
"20202","11350580","월계3동","3110675","07","5935561000","5049865000","21878000","12998000","212362000","15129000","105424000","5973000","74934000","84159000","352839000"
"20202","11350624","중계4동","3196660","07","3559143000","608524000","56483000","101499000","685066000","10011000","152542000","230746000","140269000","125388000","1448615000"
"20202","11350665","상계3?4동","2644186","06","1376185000","646218000","67818000","107986000","77637000","12006000","39169000","53081000","47486000","27615000","297169000"
"20202","11350710","상계9동","2955988","06","1255644000","388405000","12293000","755000","245523000","0","186929000","28049000","19923000","88497000","285270000"
"20202","11380510","녹번동","3055864","07","3688000000","1077842000","32036000","77628000","630755000","145921000","177700000","81641000","114103000","101309000","1249065000"
"20202","11380551","갈현1동","2481200","06","5210887000","1096790000","167327000","21373000","614926000","8750000","211624000","724644000","271304000","190601000","1903548000"
"20202","11380650","수색동","3253972","07","868329000","76224000","5147000","124182000","61364000","441900000","3849000","4832000","20404000","11583000","118844000"
"20202","11470520","목2동","3244963","07","5358073000","2098978000","76604000","36226000","823845000","553439000","289966000","119008000","278022000","116505000","965480000"
"20202","11470600","신월5동","2615553","06","2435043000","418685000","11932000","72722000","340911000","594208000","86219000","69687000","236913000","90486000","513280000"
"20202","11470630","신정2동","4725315","08","3176145000","1179492000","20751000","12216000","277875000","126043000","556775000","43695000","74479000","71884000","812935000"
"20202","11470650","신정4동","2609700","06","8262529000","1442816000","270424000","236187000","1690187000","304127000","428417000","474996000","672795000","470476000","2272104000"
"20202","11470670","신정6동","5384412","09","2257312000","586448000","20578000","0","154464000","167033000","867137000","28915000","135029000","30222000","267486000"
"20202","11500540","화곡1동","2485455","06","9732171000","2539935000","374291000","230008000","1562648000","333455000","192145000","744373000","783466000","358918000","2612932000"
"20202","11500570","화곡4동","2423768","05","3784451000","845841000","126355000","220884000","439815000","482484000","98223000","216482000","354666000","141424000","858277000"
"20202","11500591","화곡6동","3040513","07","6362696000","1219697000","69836000","35196000","1345849000","513079000","52545000","905599000","289700000","172880000","1758315000"
"20202","11500605","가양3동","3047051","07","585894000","190071000","10969000","12645000","58868000","76207000","28445000","2617000","40947000","44083000","121042000"
"20202","11500611","발산1동","3192517","07","14469712000","3427809000","75513000","144963000","5368033000","531974000","1134425000","66211000","1458187000","381097000","1881500000"
"20202","11545630","독산3동","2386851","05","3589037000","1252610000","116675000","77541000","621717000","196043000","120200000","182524000","171239000","112317000","738171000"
"20202","11560660","신길4동","2717791","06","585246000","164498000","10142000","120781000","11484000","9075000","39696000","19422000","28511000","26118000","155519000"
"20202","11560690","신길7동","3616070","07","2074266000","839071000","15461000","36225000","204097000","236356000","185917000","37574000","31602000","115645000","372318000"
"20202","11620605","은천동","3063077","07","5319399000","2075933000","60856000","547495000","290006000","331417000","187883000","92253000","184847000","154722000","1393987000"
"20202","11620630","남현동","3234026","07","4274163000","1543439000","27343000","4494000","451709000","95359000","82279000","262341000","358251000","150807000","1298141000"
"20202","11620685","신사동","2430662","05","2886886000","1142120000","52764000","63100000","428104000","77025000","95015000","166408000","124587000","96736000","641027000"
"20202","11650580","반포3동","6140775","09","4362105000","340373000","446006000","134643000","670117000","56260000","838887000","16421000","475208000","143757000","1240433000"
"20202","11650590","방배본동","4856162","08","12131075000","787690000","93149000","265748000","702512000","568089000","325067000","100158000","219746000","7774751000","1294165000"
"20202","11680590","삼성2동","5055114","09","12384452000","3289032000","535624000","542061000","1997295000","365122000","1097848000","433888000","714360000","962407000","2446815000"
"20202","11680650","역삼2동","5367397","09","530692228000","1782575000","172387000","278134000","2823115000","602050000","522166000","159187000","35851487000","485189234000","3311893000"
"20202","11680700","세곡동","3885403","08","5110606000","1447421000","56068000","72777000","499394000","539170000","554351000","50002000","418620000","246095000","1226708000"
"20202","11710532","거여2동","3033238","07","2481673000","743501000","34015000","119449000","442198000","52158000","79315000","72958000","233130000","83274000","621675000"
"20202","11710566","오륜동","6095160","09","1857819000","894104000","73573000","3369000","112014000","8060000","74861000","33551000","88946000","98680000","470661000"
"20202","11710590","송파2동","4370970","08","2792921000","751596000","32609000","326380000","383863000","373928000","204477000","45709000","165039000","103995000","405325000"
"20202","11110580","교남동","4616890","08","1362599000","210471000","42945000","22151000","474744000","7474000","74999000","18687000","33431000","44458000","433239000"
"20202","11110600","가회동","3479766","07","1474610000","406054000","96092000","1513000","34134000","0","54381000","32649000","133930000","4103000","711754000"
"20202","11110670","창신1동","2393308","05","1897056000","325746000","144059000","6183000","365774000","12420000","81966000","65066000","363063000","63287000","469492000"
"20202","11110680","창신2동","2112817","05","741720000","165411000","7148000","20894000","175998000","0","0","32543000","41954000","9259000","288513000"
"20202","11140570","필동","3033044","07","3649576000","679583000","14337000","197947000","301371000","230327000","39969000","191463000","159709000","104282000","1730588000"
"20202","11140645","청구동","3566241","07","1493280000","416970000","174696000","15601000","102631000","540000","141796000","31104000","48819000","118875000","442248000"
"20202","11170510","후암동","3013677","07","1937249000","718857000","38581000","13594000","104802000","25574000","53309000","27549000","176776000","44976000","733231000"
"20202","11170520","용산2가동","2540319","06","112396828000","111403932000","25469000","14479000","47125000","17806000","25508000","60371000","63699000","18155000","720284000"
"20202","11170530","남영동","3183091","07","47211080000","551282000","169907000","3595195000","666918000","56236000","59148000","299192000","15027681000","25014362000","1771159000"
"20202","11200790","용답동","2484354","06","8367340000","772638000","83403000","26028000","2085267000","3942868000","91100000","155314000","189635000","160454000","860633000"
"20202","11215810","광장동","5284540","09","3647892000","1003055000","125615000","54802000","317358000","240492000","368635000","65981000","261703000","179335000","1030916000"
"20202","11230536","용신동","2894254","06","12649873000","3789749000","1266316000","483587000","3234633000","708831000","173868000","131199000","413028000","155832000","2292830000"
"20202","11230730","휘경2동","3071586","07","1777606000","639325000","10883000","6261000","251303000","264035000","63068000","42188000","121493000","54394000","324656000"
"20202","11290620","정릉1동","3341356","07","1443637000","427925000","23318000","12505000","171349000","65187000","135956000","45199000","59834000","71143000","431221000"
"20202","11290640","정릉3동","2482564","06","1246597000","324165000","19392000","13739000","42337000","70175000","42734000","44636000","110272000","43444000","535703000"
"20202","11305534","삼양동","2473211","06","2828332000","1470281000","18320000","122605000","525391000","53718000","147488000","45726000","104184000","73569000","267050000"
"20202","11305535","미아동","2318870","05","4316951000","733023000","212111000","115868000","1137699000","158926000","61870000","193653000","194549000","281515000","1227737000"
"20202","11320522","도봉2동","2811820","06","2224052000","961771000","97250000","30831000","181560000","122289000","108589000","79876000","78992000","49160000","513734000"
"20202","11320660","쌍문1동","2440535","05","1502716000","636978000","16678000","5243000","227507000","126798000","35560000","27429000","54388000","38371000","333764000"
"20202","11350560","월계1동","2777397","06","4681122000","1237300000","34694000","37404000","531741000","314086000","115862000","255698000","359632000","286426000","1508279000"
"20202","11350625","중계2?3동","2936682","06","9900048000","7262809000","113432000","347376000","549478000","21776000","117738000","114200000","380513000","204952000","787774000"
"20202","11350670","상계5동","2481440","06","2123249000","804386000","46155000","78679000","162712000","49135000","94018000","77401000","159039000","97771000","553953000"
"20202","11350695","상계6?7동","3152836","07","10605565000","1322989000","181929000","205374000","4701864000","20581000","821395000","236311000","843872000","804830000","1466420000"
"20202","11380625","역촌동","2521877","06","6168277000","2245779000","105965000","137473000","898171000","245767000","284125000","200431000","236033000","328513000","1486020000"
"20202","11380640","증산동","2838450","06","2275712000","542391000","38593000","64382000","164456000","803667000","97213000","31706000","109728000","34769000","388807000"
"20202","11410615","연희동","3383749","07","81524664000","1446128000","90964000","172119000","76363862000","527822000","250778000","125162000","435734000","221760000","1890335000"
"20202","11410710","북가좌1동","4005416","08","1670625000","586084000","27866000","27185000","257700000","59137000","157769000","28020000","115447000","141591000","269826000"
"20202","11440680","합정동","3195027","07","7684072000","1441435000","322209000","216006000","901456000","116063000","104420000","360084000","580691000","476473000","3165235000"
"20202","11440690","망원1동","2802536","06","5306704000","1378400000","110816000","77303000","502988000","38242000","85803000","234691000","333110000","150636000","2394715000"
"20202","11500641","방화3동","3044446","07","1583044000","923340000","4504000","1660000","80706000","33409000","28947000","32661000","108646000","57323000","311848000"
"20202","11530540","구로3동","2888444","06","837457742000","2068796000","744677000","264534000","3541181000","2333782000","200976000","903592000","821927815000","580600000","4891789000"
"20202","11530750","개봉2동","3068971","07","3039975000","978238000","59758000","6672000","639985000","15928000","194668000","102326000","135654000","150720000","756026000"
"20202","11530780","오류2동","2781178","06","3964631000","1994155000","59055000","44505000","287728000","109287000","278605000","93918000","134695000","152376000","810307000"
"20202","11560605","문래동","4019445","08","9338265000","1676710000","43694000","247036000","1015174000","387563000","241791000","289754000","2232124000","366923000","2837496000"
"20202","11560680","신길6동","2954616","06","4019886000","1339191000","63114000","48717000","534243000","385575000","218093000","105093000","176946000","121961000","1026953000"
"20202","11590560","상도4동","2563258","06","1967848000","789898000","45368000","19899000","210285000","7668000","94196000","64031000","98087000","71583000","566833000"
"20202","11590630","사당2동","3884988","08","6664409000","1926241000","123489000","40280000","966421000","154317000","102989000","527062000","401024000","236980000","2185606000"
"20202","11620565","성현동","3455108","07","1337471000","466602000","23763000","9436000","108912000","49858000","211798000","25294000","130001000","52131000","259676000"
"20202","11620615","중앙동","2633493","06","4943069000","1682892000","57813000","96799000","964426000","35787000","342614000","99603000","228450000","215936000","1218749000"
"20202","11620645","서원동","2412001","05","9426892000","1334064000","809426000","148989000","1931196000","49849000","147337000","1148185000","796615000","536286000","2524945000"
"20202","11620745","삼성동","2593695","06","1685074000","1149481000","59133000","17554000","101776000","9783000","32270000","21360000","95063000","37356000","161298000"
"20202","11650510","서초1동","4769119","08","8737554000","1359087000","288145000","183611000","2096346000","408303000","1078722000","169699000","744121000","354213000","2055307000"
"20202","11710531","거여1동","2789100","06","1708979000","551038000","26255000","37752000","223363000","98429000","91791000","109723000","81556000","100085000","388987000"
"20202","11710610","삼전동","2779980","06","6928701000","1757684000","75505000","788613000","842491000","298527000","528815000","149989000","546811000","389922000","1550344000"
"20202","11710620","가락본동","3521561","07","7890970000","1104803000","335308000","111082000","1755030000","129967000","141190000","615857000","795811000","336639000","2565283000"
"20202","11710670","잠실2동","6352641","09","2530025000","568502000","129575000","18733000","839240000","4047000","311454000","8978000","156951000","171265000","321280000"
"20202","11710690","잠실4동","6007987","09","1309177000","364610000","23995000","2450000","347663000","0","150693000","31717000","45252000","123906000","218891000"
"20202","11110630","종로5?6가동","2531450","06","6878182000","539731000","382944000","180133000","2677562000","36902000","146047000","148470000","841064000","59532000","1865797000"
"20202","11110700","숭인1동","2868519","06","602053000","305530000","2858000","7322000","92693000","22780000","10943000","12551000","31983000","24617000","90776000"
"20202","11140580","장충동","2895026","06","1518788000","190429000","97509000","44768000","55837000","262172000","4865000","14873000","30322000","56619000","761394000"
"20202","11140625","다산동","2679845","06","2988645000","692820000","36735000","29353000","555446000","20092000","93942000","116497000","145258000","174421000","1124081000"
"20202","11140650","신당5동","3027979","07","1631742000","314585000","18833000","16216000","180029000","161978000","15022000","74989000","190450000","50657000","608983000"
"20202","11170560","원효로1동","4450695","08","2645939000","429254000","139715000","418165000","131181000","64325000","63858000","137647000","245225000","96607000","919962000"
"20202","11170580","효창동","3523201","07","1003930000","431253000","4136000","12519000","203569000","9592000","65414000","0","69661000","22234000","185552000"
"20202","11200540","마장동","3021967","07","4577621000","1981198000","5437000","44195000","192380000","1061744000","76569000","77568000","88330000","334548000","715652000"
"20202","11200690","성수2가3동","3358391","07","11428359000","1908700000","593897000","144618000","1168929000","1516132000","1552482000","307992000","612993000","320447000","3302169000"
"20202","11215750","중곡2동","2555101","06","3471257000","869221000","106697000","183838000","603777000","125389000","140504000","148911000","288103000","139474000","865343000"
"20202","11215840","자양3동","4353416","08","3958027000","588507000","438007000","50871000","306836000","310982000","341488000","40230000","353540000","211897000","1315669000"
"20202","11230545","제기동","2792227","06","6807935000","3096283000","257546000","52484000","1362577000","435392000","111340000","72515000","267690000","56444000","1095664000"
"20202","11230610","답십리2동","3049260","07","4401232000","1313752000","66247000","49540000","797528000","877756000","188874000","118384000","119365000","85088000","784698000"
"20202","11230660","장안2동","2920490","06","10256540000","3926919000","261298000","419572000","1242152000","183876000","594178000","359174000","518355000","221744000","2529272000"
"20202","11230705","청량리동","2860315","06","3256529000","803856000","73255000","36629000","783594000","358872000","41192000","70497000","172001000","113651000","802982000"
"20202","11230750","이문2동","3137841","07","1339010000","660552000","14561000","5150000","172612000","65494000","75090000","50776000","15647000","30898000","248230000"
"20202","11260580","상봉1동","2969913","06","3372314000","1783694000","36929000","93305000","536156000","145466000","76760000","16371000","45735000","152730000","485168000"
"20202","11290590","돈암2동","4297592","08","754179000","357243000","11930000","0","45831000","0","123210000","5245000","52309000","62127000","96284000"
"20202","11305575","삼각산동","3734477","07","2429597000","890601000","40137000","8659000","289596000","1157000","331625000","43013000","106620000","104432000","613757000"
"20202","11305595","번1동","2303972","05","5927218000","890290000","232667000","264567000","1266447000","322628000","130973000","188838000","650481000","470638000","1509689000"
"20202","11305615","수유1동","2220463","05","3592381000","1315771000","202956000","74081000","357284000","464543000","30326000","60036000","265006000","161522000","660856000"
"20202","11305660","인수동","2359990","05","2090966000","882519000","48299000","18447000","205206000","136538000","43917000","43627000","105107000","52934000","554372000"
"20202","11350612","하계2동","3625940","07","586829000","264978000","19257000","22450000","9634000","4411000","107896000","13570000","11597000","14292000","118744000"
"20202","11350630","상계1동","3030316","07","7228523000","2372360000","140215000","204601000","557129000","330008000","199611000","230087000","291033000","322293000","2581186000"
"20202","11350700","상계8동","3153561","07","1300880000","484627000","63573000","23635000","187509000","1830000","174571000","22148000","143533000","18124000","181330000"
"20202","11380590","응암2동","3510245","07","1815343000","688293000","18662000","42575000","173279000","298241000","187616000","29299000","55540000","68179000","253659000"
"20202","11380600","응암3동","2360910","05","5865121000","2017416000","230083000","79321000","650785000","225046000","141966000","471124000","256288000","165230000","1627862000"
"20202","11410520","천연동","4197718","08","2092655000","1030791000","54808000","14002000","208078000","30229000","124730000","59780000","75443000","29191000","465603000"
"20202","11410565","충현동","3210231","07","2895394000","688445000","38733000","117207000","267803000","35349000","65754000","59872000","272907000","152515000","1196809000"
"20202","11440730","성산2동","3521472","07","7495875000","4411358000","39901000","25855000","300635000","343295000","364469000","109597000","773026000","242996000","884743000"
"20202","11470620","신정1동","5046256","09","3647485000","935366000","85779000","264362000","471963000","64960000","376769000","193529000","112025000","128710000","1014022000"
"20202","11500615","우장산동","4135674","08","6344851000","1734522000","407751000","219200000","1445891000","164565000","684623000","106415000","260431000","308764000","1012689000"
"20202","11545670","시흥1동","2757307","06","8732011000","2896867000","144888000","175882000","1082552000","912079000","240623000","333724000","455319000","274463000","2215614000"
"20202","11545710","시흥5동","2375052","05","1533208000","587737000","14124000","12455000","140745000","13873000","37866000","83179000","133789000","93289000","416151000"
"20202","11560540","여의동","5590853","09","254307888000","4262407000","687052000","456204000","3042155000","189040184000","522131000","772002000","16065395000","29654419000","9805939000"
"20202","11560550","당산1동","3536432","07","4464487000","1019002000","71765000","80080000","571507000","185982000","113401000","266271000","253911000","289096000","1613472000"
"20202","11560650","신길3동","3085442","07","2935997000","950757000","93731000","133357000","549117000","323735000","73772000","68566000","105066000","63925000","573971000"
"20202","11560710","대림2동","2686240","06","2578959000","590898000","67702000","13062000","257229000","2422000","20051000","204208000","153533000","99986000","1169868000"
"20202","11590660","대방동","3524765","07","6013263000","1474634000","140533000","48516000","644285000","383770000","709939000","109930000","1071242000","288932000","1141482000"
"20202","11590680","신대방2동","3340157","07","81432108000","1662918000","22164000","555556000","3373512000","73281638000","164112000","92740000","379265000","373100000","1527103000"
"20202","11620625","인헌동","2783693","06","3354477000","917412000","122846000","7044000","381963000","450379000","57416000","93985000","248263000","126604000","948565000"
"20202","11620655","신원동","2403237","05","1619129000","807631000","23326000","27846000","102856000","21864000","15872000","63456000","61146000","51214000","443918000"
"20202","11620735","대학동","2622408","06","6760230000","2715768000","17163000","26786000","692793000","15297000","301369000","344029000","356646000","287406000","2002973000"
"20202","11620765","미성동","2676537","06","3551513000","894894000","274291000","55288000","668168000","180284000","162784000","190481000","209530000","88276000","827517000"
"20202","11650531","서초4동","6475383","09","29036767000","1562068000","801201000","100991000","15601362000","170113000","1710259000","1726232000","1095938000","1625572000","4643031000"
"20202","11650560","반포1동","5338302","09","7820645000","1045330000","64224000","49769000","3660604000","-8765000","296071000","119703000","1077813000","300150000","1215746000"
"20202","11680531","논현2동","3973993","08","21179218000","1872632000","765113000","636506000","5920537000","771890000","527987000","1386116000","2010736000","2536512000","4751189000"
"20202","11680640","역삼1동","3607265","07","918894370000","6733970000","2854923000","1736314000","29867260000","483031000","4195869000","2464210000","725636720000","128348343000","16573730000"
"20202","11680720","일원본동","5444886","09","2624510000","471589000","14502000","14402000","1384228000","2999000","129252000","2886000","93231000","80337000","431084000"
"20202","11740560","고덕2동","2465499","06","2051857000","790356000","25941000","56360000","473449000","39930000","80364000","23346000","91079000","76008000","395024000"
"20202","11740590","암사3동","4470889","08","1406129000","392849000","35073000","31852000","79439000","9640000","401198000","3179000","118452000","67542000","266905000"
"20202","11740660","성내3동","2897346","06","6214389000","1284380000","174958000","235342000","807048000","421503000","441326000","208574000","405686000","205151000","2030421000"
