"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7031194","성사중학교","Sungsa Middle School","서울특별시서부교육지원청","03951","서울특별시 마포구 모래내로9길 16","/ 성사중학교 (성산동)","02-373-8002","http://www.sungsa.ms.kr","02-309-2431","남여공학","","N","일반계","","전기","주간","19801227","19810527","B10","서울특별시교육청","서울특별시","","","","20230629000000"
"중학교","공립","7031191","서울여자중학교","Seoul Girls’ Middle School","서울특별시서부교육지원청","04140","서울특별시 마포구 백범로25길 34","/ 서울여자중학교 (염리동)","02-716-5041","https://seoul.sen.ms.kr","02-3275-1112","여","","N","일반계","","전기","주간","19550302","19550302","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031189","상암중학교","Sangam middle school","서울특별시서부교육지원청","03907","서울특별시 마포구 상암산로1길 26","(상암동)","02-375-5300","http://sangam.sen.ms.kr","02-375-5369","남여공학","","N","해당없음","","전기","주간","20070301","20070605","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","사립","7031184","동도중학교","Dongdo Middle School","서울특별시서부교육지원청","04140","서울특별시 마포구 백범로 139","동도중학교","02-716-5391","http://www.dong-do.ms.kr","02-716-5392","남여공학","","N","일반계","","전기","주간","19550409","19620628","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","사립","7031180","광성중학교","Kwangsung Middle School","서울특별시서부교육지원청","04097","서울 마포구 신수로8길 20","(신수동/광성중고등학교)","02-703-3456","http://www.kwangsung.ms.kr","02-3273-5120","남","","N","일반계","","전기","주간","18940406","18940406","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","사립","7031179","경성중학교","Gyeongseong Middle School","서울특별시서부교육지원청","03977","서울특별시 마포구 성미산로 111","/ 경성중학교 (연남동/경성중고등학교)","02-3140-1114","http://www.gyeongseong.ms.kr","02-334-7533","남","","N","일반계","","전기","주간","19670902","19671023","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","사립","7031177","홍익대학교사범대학부속초등학교","Hongik University Elementary School","서울특별시서부교육지원청","03967","서울특별시 마포구 성미산로 51","(성산동)","02-336-3500","http://hongik.sen.es.kr","02-331-7210","남여공학","","N","일반계","","전기","주간","19660312","19660312","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031166","서울한서초등학교","Seoul Hanseo Elementary School","서울특별시서부교육지원청","04123","서울특별시 마포구 대흥로24바길 27","/ 서울한서초 (염리동)","02-716-4914","http://www.hanseo.es.kr","02-718-0563","남여공학","","N","일반계","","전기","주간","19451101","19451101","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031165","서울창천초등학교","Seoul Changcheon Elementary School","서울특별시서부교육지원청","04102","서울특별시 마포구 백범로1길 56","/ 서울창천초등학교 (노고산동)","02-715-4667","http://www.changchon.es.kr","02-718-9277","남여공학","","N","일반계","","전기","주간","19400129","19400401","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031161","서울중동초등학교","Seoul Jungdong Elementary School","서울특별시서부교육지원청","03949","서울특별시 마포구 월드컵북로 152","(성산동)","02-373-4835","http://www.jungdong.es.kr","02-307-7768","남여공학","","N","일반계","","전기","주간","19770901","19771202","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031155","서울용강초등학교","Seoul Yong-gang Elementary School","서울특별시서부교육지원청","04136","서울특별시 마포구 백범로17길 9","(대흥동)","02-715-1749","http://www.yonggang.es.kr","02-717-1670","남여공학","","N","일반계","","전기","주간","19160426","19160426","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031154","서울염리초등학교","Seoul Yeomri Elementary School","서울특별시서부교육지원청","04155","서울특별시 마포구 토정로37길 37","/ 서울염리초등학교 (염리동)","02-715-4916","https://yeomri.sen.es.kr","02-701-1163","남여공학","","N","일반계","","전기","주간","19830803","19831122","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031145","서울아현초등학교","Seoul Ahyeon Elementary School","서울특별시서부교육지원청","04117","서울특별시 마포구 굴레방로 6","(아현동)","02-313-5845","http://ahyun.es.kr","02-364-6278","남여공학","","N","일반계","","전기","주간","19250402","19250402","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031144","서울신석초등학교","Seoul Sinseok Elementary School","서울특별시서부교육지원청","04090","서울특별시 마포구 대흥로 33","/ 서울신석초등학교 (신수동)","02-715-3669","http://sinseok.es.kr","02-715-0117","남여공학","","N","일반계","","전기","주간","19640310","19640310","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031142","서울신북초등학교","Seoul Sinbuk Elementary School","서울특별시서부교육지원청","03941","서울특별시 마포구 월드컵북로38길 26","/ 서울신북초등학교 (중동)","02-303-6884","http://www.sinbuk.es.kr","02-309-5606","남여공학","","N","일반계","","전기","주간","19821101","19821111","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031139","서울소의초등학교","Seoul Soeui Elementary School","서울특별시서부교육지원청","04202","서울특별시 마포구 마포대로24길 42","(아현동/소의초등학교)","02-362-6571","http://www.soeui.es.kr","02-393-9391","남여공학","","N","일반계","","전기","주간","19330501","19451101","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031138","서울성원초등학교","Seoul Seongwon Elementary School","서울특별시서부교육지원청","03939","서울특별시 마포구 월드컵로36길 34","(성산동)","02-305-7201","http://sungwon.sen.es.kr","02-309-3887","남여공학","","N","일반계","","전기","주간","19861022","19861021","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031137","서울성서초등학교","Seoul Seongseo Elementary School","서울특별시서부교육지원청","03968","서울특별시 마포구 성미산로7길 24","(성산동)","02-3141-9544","http://www.sseo.es.kr","02-3141-9549","남여공학","","N","일반계","","전기","주간","19831203","19840523","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031136","서울성산초등학교","Seoul Seongsan Elementary School","서울특별시서부교육지원청","04023","서울특별시 마포구 양화로3길 94","/ 서울성산초등학교 (합정동)","02-334-1951","http://www.ssc.es.kr","02-337-9143","남여공학","","N","일반계","","전기","주간","19690301","19690301","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031134","서울서교초등학교","Seoul Seokyo Elementary School","서울특별시서부교육지원청","04054","서울특별시 마포구 와우산로23길 20-27","(서교동)","02 3143-0673","http://seokyo.es.kr","02-323-1465","남여공학","","N","일반계","","전기","주간","19620712","19620712","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031133","서울서강초등학교","Seoul Seogang Elementary School","서울특별시서부교육지원청","04067","서울특별시 마포구 독막로 113","(상수동/서강초등학교)","02-334-2410","http://www.sogang.es.kr","02-338-5642","남여공학","","N","일반계","","전기","주간","19370401","19380607","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031132","서울상지초등학교","Seoul Sangji Elementary School","서울특별시서부교육지원청","03905","서울특별시 마포구 월드컵로42길 30","/ 서울상지초등학교 (상암동)","02-303-9009","http://www.seoulsangji.es.kr","02-303-4906","남여공학","","N","해당없음","","전기","주간","20070605","20070605","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031131","서울상암초등학교","Seoul Sangam Elementary School","서울특별시서부교육지원청","03912","서울특별시 마포구 월드컵북로 353","(상암동/상암초등학교)","02-375-8891","http://sangam.sen.es.kr/","02-375-8894","남여공학","","N","일반계","","전기","주간","19720710","19720710","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031124","서울망원초등학교","Seoul Mangwon Elementary School","서울특별시서부교육지원청","03955","서울특별시 마포구 방울내로5길 28","(망원동/ 망원초등학교)","02-334-5188","http://mangwon.sen.es.kr","02-324-8415","남여공학","","N","일반계","","전기","주간","19831231","19841026","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031123","서울마포초등학교","Seoul Mapo Elementary School","서울특별시서부교육지원청","04171","서울특별시 마포구 도화2길 64","/ 서울 마포초등학교 (도화동)","02-712-0852","http://mapo.es.kr","02-712-5932","남여공학","","N","일반계","","전기","주간","19100624","19110612","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031122","서울동교초등학교","Seoul Dong-gyo Elementary School","서울특별시서부교육지원청","03959","서울특별시 마포구 월드컵로25길 86","/ 동교초등학교 (망원동)","02-324-5091","www.donggyo.es.kr","02-324-5094","남여공학","","N","일반계","","전기","주간","19740901","19750418","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"초등학교","공립","7031114","서울공덕초등학교","Seoul Gongduck Elementary School","서울특별시서부교육지원청","04214","서울특별시 마포구 만리재옛길 13","(공덕동/ 공덕초등학교)","02-703-6069","http://kongduck.sen.es.kr","02-703-6068","남여공학","","N","일반계","","전기","주간","19440411","19440411","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"외국인학교","사립","7011189","서울드와이트외국인학교","Dwight International School Seoul","서울특별시교육청","03919","서울특별시 마포구 월드컵북로62길 21","(상암동)","02-6920-8600","http://www.dwight.or.kr/","02-6920-8700","남여공학","","N","","","전기","주간","20120820","20120820","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"평생학교(중)-2년6학기","사립","7011141","학력인정 일성여자중학교(2년제)","Ilsung Womens’ s Middle School","서울특별시교육청","04134","서울특별시 마포구 마포대로11다길 11-6","(염리동/ 일성여자중고등학교)","02-716-0069","http://www.ajummaschool.com","02-718-0615","여","","N","해당없음","","전기","주야간","19531113","20001205","B10","서울특별시교육청","서울특별시","","","","20230629000000"
"평생학교(고)-2년6학기","사립","7011140","학력인정 일성여자고등학교(2년제)","Ilsung Womens’s High School","서울특별시교육청","04134","서울특별시 마포구 마포대로11다길 11-6","(염리동/ 일성여자중고등학교)","02-716-0069","http://www.ajummaschool.com","02-718-0615","여","일반고","N","일반계","","전기","주야간","19531113","20001205","B10","서울특별시교육청","서울특별시","야간","일반계","일반학과","20230629000000"
"평생학교(고)-2년6학기","사립","7011140","학력인정 일성여자고등학교(2년제)","Ilsung Womens’s High School","서울특별시교육청","04134","서울특별시 마포구 마포대로11다길 11-6","(염리동/ 일성여자중고등학교)","02-716-0069","http://www.ajummaschool.com","02-718-0615","여","일반고","N","일반계","","전기","주야간","19531113","20001205","B10","서울특별시교육청","서울특별시","주간","일반계","일반학과","20230629000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","멀티미디어디자인과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","디자인경영과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","관광과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","관광경영과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","경영정보과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","상업디자인과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","문화콘텐츠디자인과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","시각디자인과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","영상애니메이션과","20230615000000"
"고등학교","사립","7011087","홍익디자인고등학교","Hongik Design High School","서울특별시교육청","03977","서울특별시 마포구 성미산로 111","(연남동)","02-3140-1256","http://hid.sen.hs.kr","02-3140-1340","여","특성화고","N","전문계","","전기","주간","19920727","19920727","B10","서울특별시교육청","서울특별시","주간","상업계","정보처리과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","야간","공업계","전자계산기과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","해킹보안과정","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","해킹보안과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","클라우드보안과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","정보보안과정","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","전자계산기과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","메타버스게임과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","로봇전자과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","네트워크보안과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","게임과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","주간","공업계","U-센서네트워크보안과","20230615000000"
"고등학교","사립","7010911","한세사이버보안고등학교","Hansei Cyber Security High School","서울특별시교육청","04129","서울특별시 마포구 마포대로11길 44-80","(아현동)","02-362-0130","http://www.hansei.org","02-312-3996","남여공학","특성화고","N","전문계","","전기","주간","19941005","19941005","B10","서울특별시교육청","서울특별시","야간","공업계","해킹보안과","20230615000000"
"외국인학교","사립","7010842","서울일본인학교","서울일본인학교","서울특별시교육청","03919","서울특별시 마포구 월드컵북로62길 11","/ 일본인학교 (상암동)","02-308-2010","http://www.sjs.or.kr/","02-572-6972","남","","N","해당없음","","전기","주간","19720508","19720508","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"고등학교","공립","7010806","상암고등학교","Sang-am High School","서울특별시교육청","03903","서울특별시 마포구 월드컵북로 445","(상암동)","02-373-0041","http://www.sangam.hs.kr","02-373-0068","남여공학","일반고","N","일반계","","후기","주간","20070104","20070510","B10","서울특별시교육청","서울특별시","주간","일반계","공통과정","20230615000000"
"고등학교","공립","7010806","상암고등학교","Sang-am High School","서울특별시교육청","03903","서울특별시 마포구 월드컵북로 445","(상암동)","02-373-0041","http://www.sangam.hs.kr","02-373-0068","남여공학","일반고","N","일반계","","후기","주간","20070104","20070510","B10","서울특별시교육청","서울특별시","주간","일반계","자연과정","20230615000000"
"고등학교","공립","7010806","상암고등학교","Sang-am High School","서울특별시교육청","03903","서울특별시 마포구 월드컵북로 445","(상암동)","02-373-0041","http://www.sangam.hs.kr","02-373-0068","남여공학","일반고","N","일반계","","후기","주간","20070104","20070510","B10","서울특별시교육청","서울특별시","주간","일반계","일반학과","20230615000000"
"고등학교","공립","7010806","상암고등학교","Sang-am High School","서울특별시교육청","03903","서울특별시 마포구 월드컵북로 445","(상암동)","02-373-0041","http://www.sangam.hs.kr","02-373-0068","남여공학","일반고","N","일반계","","후기","주간","20070104","20070510","B10","서울특별시교육청","서울특별시","주간","일반계","인문사회과정","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","토목과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","패션디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","패션액세서리디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","푸드스타일디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","정보전자디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","정보전자과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","전자과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","영상디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","시각디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","사운드뮤직디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","로봇디자인과","20230615000000"
"고등학교","사립","7010741","서울디자인고등학교","Seoul Design High School","서울특별시교육청","04140","서울특별시 마포구 백범로 139","/ 서울디자인고등학교 (염리동)","02-715-2261","http://www.seodi.hs.kr","02-716-6967","남여공학","특성화고","N","전문계","","전기","주간","19550112","19550112","B10","서울특별시교육청","서울특별시","주간","공업계","건축디자인과","20230615000000"
